URL,Country,Domain,Category,Score
https://tofu.misosil.com,Japan,misosil,NonMedia,0.6966226100921631
https://saas-search.jp,Japan,saas-search,Media,0.6514809727668762
https://lightcast.io,British Indian Ocean Territory,lightcast,NonMedia,0.647150456905365
https://moltsinc.co.jp,Japan,moltsinc,Media,0.6445955038070679
https://www.tableau.com,Global,tableau,NonMedia,0.6374421715736389
https://www.teamcomputers.com,Global,teamcomputers,NonMedia,0.6329697370529175
https://www.hottolink.co.jp,Japan,hottolink,Media,0.6309198141098022
https://kigyolog.com,Japan,kigyolog,NonMedia,0.620061457157135
https://www.opentext.com,Global,opentext,NonMedia,0.6131425499916077
https://about.gitlab.com,Global,gitlab,NonMedia,0.5864801406860352
https://www.d4dr.jp,Japan,d4dr,Media,0.5858777761459351
https://utilly.jp,Japan,utilly,Media,0.5542172789573669
https://www.jstage.jst.go.jp,Japan,jst,Media,0.4793959856033325
https://careers.walmart.com,Global,walmart,NonMedia,0.47388485074043274
https://support.google.com,Global,google,NonMedia,0.4572950601577759
https://www.google.com,Japan,google,NonMedia,0.44081953167915344
https://durhamcollege.ca,Canada,durhamcollege,NonMedia,0.40886908769607544
https://guides.nyu.edu,Education,nyu,NonMedia,0.4026094079017639
https://translate.google.com,Global,google,NonMedia,0.35812920331954956
https://translate.google.com,Global,google,Media,0.35812920331954956
https://www.operaballet.nl,Netherlands,operaballet,NonMedia,0.32169872522354126
https://www.youtube.com,Japan,youtube,NonMedia,0.31921786069869995
https://www.hitachi.co.jp,Japan,hitachi,Media,0.29591208696365356
